,confidence_threshold,num_ens,remaining_cores,patch_auroc,patch_macro_acc,patch_avg_prec,patch_brier_score,patch_expected_calibration_error,core_auroc,core_macro_acc,core_avg_prec,core_brier_score,core_expected_calibration_error
0,0.0,3.0,15.0,0.6594560146331787,0.566733181476593,0.64200758934021,0.26862374126939786,0.1322830617427826,0.7255072593688965,0.5533333420753479,0.6621724367141724,0.2704460191489383,0.1971149742603302
1,0.1,3.0,15.0,0.6594560146331787,0.566733181476593,0.64200758934021,0.26862374126939786,0.1322830617427826,0.7255072593688965,0.5533333420753479,0.6621724367141724,0.2704460191489383,0.1971149742603302
2,0.2,3.0,15.0,0.6594560146331787,0.566733181476593,0.64200758934021,0.26862374126939786,0.1322830617427826,0.7255072593688965,0.5533333420753479,0.6621724367141724,0.2704460191489383,0.1971149742603302
3,0.3,3.0,37.0,0.6258673667907715,0.5397459268569946,0.6053816080093384,0.2944410655033312,0.2109505832195282,0.7005797028541565,0.5199999809265137,0.660298228263855,0.28190648141872515,0.2323734313249588
4,0.4,3.0,37.0,0.6258673667907715,0.5397459268569946,0.6053816080093384,0.2944410655033312,0.2109505832195282,0.7005797028541565,0.5199999809265137,0.660298228263855,0.28190648141872515,0.2323734313249588
5,0.5,3.0,37.0,0.6258673667907715,0.5397459268569946,0.6053816080093384,0.2944410655033312,0.2109505832195282,0.7005797028541565,0.5199999809265137,0.660298228263855,0.28190648141872515,0.2323734313249588
6,0.6,3.0,37.0,0.6258673667907715,0.5397459268569946,0.6053816080093384,0.2944410655033312,0.2109505832195282,0.7005797028541565,0.5199999809265137,0.660298228263855,0.28190648141872515,0.2323734313249588
7,0.7,3.0,37.0,0.6258673667907715,0.5397459268569946,0.6053816080093384,0.2944410655033312,0.2109505832195282,0.7005797028541565,0.5199999809265137,0.660298228263855,0.28190648141872515,0.2323734313249588
8,0.8,3.0,37.0,0.6258673667907715,0.5397459268569946,0.6053816080093384,0.2944410655033312,0.2109505832195282,0.7005797028541565,0.5199999809265137,0.660298228263855,0.28190648141872515,0.2323734313249588
9,0.9,3.0,37.0,0.6258673667907715,0.5397459268569946,0.6053816080093384,0.2944410655033312,0.2109505832195282,0.7005797028541565,0.5199999809265137,0.660298228263855,0.28190648141872515,0.2323734313249588
10,1.0,3.0,52.0,0.6767575144767761,0.5967985987663269,0.6482862234115601,0.26995703400529963,0.12480241060256958,0.7486956715583801,0.5666666626930237,0.6850886940956116,0.2667613002573312,0.16929343342781067
